ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.757499071,1.757456794
16,33554432,536870912,1.599729283,1.599727384
32,16777216,536870912,1.719769266,1.719767437
64,8388608,536870912,1.644588799,1.644585517
128,4194304,536870912,1.631086536,1.631077538
256,2097152,536870912,1.578052639,1.578040594
512,1048576,536870912,1.563579491,1.563558277
1024,524288,536870912,1.536794809,1.536754167
2048,262144,536870912,1.537471598,1.537396126
4096,131072,536870912,1.587855221,1.587700063
8192,65536,536870912,1.558202493,1.557908544
16384,32768,536870912,1.554042328,1.553441610
32768,16384,536870912,1.558538104,1.557286056
65536,8192,536870912,1.585196986,1.582715653
131072,4096,536870912,1.581066273,1.576012510
262144,2048,536870912,1.568733378,1.558831002
524288,1024,536870912,1.578602291,1.559735480
1048576,512,536870912,1.625351734,1.589529785
2097152,256,536870912,1.711745188,1.641480059
4194304,128,536870912,1.805337988,1.664876906
8388608,64,536870912,1.936355889,1.653755728
16777216,32,536870912,2.200455851,1.643507434
33554432,16,536870912,2.791975269,1.675749551
67108864,8,536870912,3.858460378,1.638482475
134217728,4,536870912,6.084971524,1.645473170
268435456,2,536870912,10.424190435,1.626039703
536870912,1,536870912,19.377882757,1.717908619
