ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.128339956,0.128338950
16,33554432,536870912,0.081913631,0.081911704
32,16777216,536870912,0.059080315,0.059078233
64,8388608,536870912,0.072895868,0.072889378
128,4194304,536870912,0.089937672,0.089931098
256,2097152,536870912,0.072275341,0.072261227
512,1048576,536870912,0.056922450,0.056899704
1024,524288,536870912,0.050450374,0.050400470
2048,262144,536870912,0.046881858,0.046782156
4096,131072,536870912,0.067573391,0.067376130
8192,65536,536870912,0.068279401,0.067930600
16384,32768,536870912,0.068592094,0.067886303
32768,16384,536870912,0.069280435,0.067899978
65536,8192,536870912,0.086572805,0.083795022
131072,4096,536870912,0.153224725,0.147534163
262144,2048,536870912,0.161167291,0.150221608
524288,1024,536870912,0.173029464,0.150655463
1048576,512,536870912,0.231622199,0.188905812
2097152,256,536870912,0.544336577,0.458500688
4194304,128,536870912,0.759660275,0.586777353
8388608,64,536870912,0.993818491,0.646148085
16777216,32,536870912,1.341577977,0.647993408
33554432,16,536870912,2.041063302,0.649061372
67108864,8,536870912,3.540200172,0.721118778
134217728,4,536870912,6.400092362,0.683653623
268435456,2,536870912,11.955137403,0.677544836
536870912,1,536870912,40.853045873,17.302567642
