ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.167702021,0.167700941
16,33554432,536870912,0.116916455,0.116915081
32,16777216,536870912,0.095063613,0.095062140
64,8388608,536870912,0.081172128,0.081165425
128,4194304,536870912,0.090288981,0.090281141
256,2097152,536870912,0.093512944,0.093499051
512,1048576,536870912,0.083229518,0.083207682
1024,524288,536870912,0.078030808,0.077987856
2048,262144,536870912,0.074820471,0.074739166
4096,131072,536870912,0.085275239,0.085102557
8192,65536,536870912,0.090150277,0.089813550
16384,32768,536870912,0.089818615,0.089075165
32768,16384,536870912,0.087435909,0.086020840
65536,8192,536870912,0.098658894,0.095832399
131072,4096,536870912,0.144247890,0.138706226
262144,2048,536870912,0.158499441,0.147330347
524288,1024,536870912,0.172793615,0.150568374
1048576,512,536870912,0.240667619,0.195767411
2097152,256,536870912,0.526222187,0.432344887
4194304,128,536870912,0.745363105,0.564729027
8388608,64,536870912,0.986891492,0.623527495
16777216,32,536870912,1.358432809,0.631568375
33554432,16,536870912,2.101624673,0.643990644
67108864,8,536870912,3.592676120,0.655471966
134217728,4,536870912,6.462359251,0.640201487
268435456,2,536870912,12.298232513,0.666777357
536870912,1,536870912,45.656800323,20.159001170
