ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.210873317,0.210872123
16,33554432,536870912,0.141313981,0.141312563
32,16777216,536870912,0.155963236,0.155960931
64,8388608,536870912,0.120098474,0.120092517
128,4194304,536870912,0.102034390,0.102027477
256,2097152,536870912,0.096631218,0.096618941
512,1048576,536870912,0.100205708,0.100184094
1024,524288,536870912,0.090918331,0.090877960
2048,262144,536870912,0.142952630,0.142868878
4096,131072,536870912,0.145806314,0.145640667
8192,65536,536870912,0.143247580,0.142925188
16384,32768,536870912,0.137719958,0.137052724
32768,16384,536870912,0.151619870,0.150300999
65536,8192,536870912,0.240900935,0.238259336
131072,4096,536870912,0.262549863,0.257228986
262144,2048,536870912,0.289246831,0.278647989
524288,1024,536870912,0.351367628,0.328968469
1048576,512,536870912,0.721699816,0.679568973
2097152,256,536870912,1.071682312,0.985889369
4194304,128,536870912,1.241342177,1.064789303
8388608,64,536870912,1.491811211,1.132902577
16777216,32,536870912,1.802442741,1.096823727
33554432,16,536870912,2.480325966,1.074913716
67108864,8,536870912,3.872077862,1.076095317
134217728,4,536870912,6.616506862,1.070324596
268435456,2,536870912,12.173599251,1.066106202
536870912,1,536870912,107.817862998,85.106947809
