Nx,Ny,Particles,Total_Interp(s),Total_Mover(s),Total_Execution(s),Avg_Interp(s),Avg_Mover(s),Avg_Total(s),Total_Deleted,Avg_Deleted
250,100,100,0.00015000000000000001,9.999999999999999e-06,0.000155,0.000015,0.000001,0.000016,10,1.00
250,100,10000,0.001375,0.000717,0.002091,0.000137,0.000072,0.000209,387,38.70
250,100,1000000,0.119508,0.071515,0.191021,0.011951,0.007151,0.019102,33905,3390.50
250,100,100000000,9.912996999999999,6.291563,16.204558,0.991300,0.629156,1.620456,3376620,337662.00
250,100,1000000000,78.283511,56.403946,134.687458,7.828351,5.640395,13.468746,33763257,3376325.70
500,200,100,0.000633,9.999999999999999e-06,0.000633,0.000063,0.000001,0.000063,4,0.40
500,200,10000,0.0015270000000000001,0.000564,0.002092,0.000153,0.000056,0.000209,203,20.30
500,200,1000000,0.113141,0.055549,0.16869,0.011314,0.005555,0.016869,16832,1683.20
500,200,100000000,11.321693,5.560900999999999,16.882595000000002,1.132169,0.556090,1.688260,1676528,167652.80
500,200,1000000000,112.877195,55.555455,168.432648,11.287719,5.555546,16.843265,16755539,1675553.90
1000,400,100,0.002736,9.999999999999999e-06,0.0027429999999999998,0.000274,0.000001,0.000274,4,0.40
1000,400,10000,0.005501,0.00059,0.006091,0.000550,0.000059,0.000609,115,11.50
1000,400,1000000,0.126386,0.055269,0.18165599999999998,0.012639,0.005527,0.018166,8513,851.30
1000,400,100000000,11.581646,5.560855,17.142501,1.158165,0.556086,1.714250,833470,83347.00
1000,400,1000000000,114.376875,55.306053,169.682931,11.437687,5.530605,16.968293,8347577,834757.70
