Nx,Ny,Particles,Total_Interp(s),Total_Mover(s),Total_Execution(s),Avg_Interp(s),Avg_Mover(s),Avg_Total(s),Total_Deleted,Avg_Deleted
250,100,100,8e-05,1e-06,8.999999999999999e-05,0.000008,0.000000,0.000009,10,1.00
250,100,10000,0.000364,0.000395,0.0007589999999999999,0.000036,0.000039,0.000076,387,38.70
250,100,1000000,0.030158,0.039693,0.069852,0.003016,0.003969,0.006985,33905,3390.50
250,100,100000000,2.867273,3.859144,6.726418,0.286727,0.385914,0.672642,3376620,337662.00
250,100,1000000000,182.008228,185.154265,367.162491,18.200823,18.515427,36.716249,33763257,3376325.70
500,200,100,0.00034899999999999997,1e-06,0.000358,0.000035,0.000000,0.000036,4,0.40
500,200,10000,0.000735,0.000426,0.001162,0.000073,0.000043,0.000116,203,20.30
500,200,1000000,0.03473,0.040484,0.075212,0.003473,0.004048,0.007521,16832,1683.20
500,200,100000000,3.165223,3.8616610000000002,7.0268820000000005,0.316522,0.386166,0.702688,1676528,167652.80
500,200,1000000000,195.40285,195.905751,391.308598,19.540285,19.590575,39.130860,16755539,1675553.90
1000,400,100,0.0018650000000000001,2e-06,0.001869,0.000187,0.000000,0.000187,4,0.40
1000,400,10000,0.002229,0.00041,0.00264,0.000223,0.000041,0.000264,115,11.50
1000,400,1000000,0.080574,0.040096,0.120668,0.008057,0.004010,0.012067,8513,851.30
1000,400,100000000,7.598306,3.950879,11.549183,0.759831,0.395088,1.154918,833470,83347.00
1000,400,1000000000,238.994423,185.539782,424.53420700000004,23.899442,18.553978,42.453421,8347577,834757.70
