Nx,Ny,Particles,Iteration,Interp(s),Mover(s),Total(s),Deleted
250,100,100,1,0.000068,0.000001,0.000069,1
250,100,100,2,0.000012,0.000001,0.000013,1
250,100,100,3,0.000011,0.000001,0.000012,0
250,100,100,4,0.000011,0.000001,0.000012,1
250,100,100,5,0.000011,0.000001,0.000012,3
250,100,100,6,0.000011,0.000001,0.000012,0
250,100,100,7,0.000011,0.000001,0.000012,0
250,100,100,8,0.000011,0.000001,0.000012,0
250,100,100,9,0.000011,0.000001,0.000012,0
250,100,100,10,0.000011,0.000001,0.000012,0
250,100,10000,1,0.000204,0.000081,0.000285,84
250,100,10000,2,0.000127,0.000068,0.000195,45
250,100,10000,3,0.000127,0.000067,0.000195,30
250,100,10000,4,0.000127,0.000068,0.000195,38
250,100,10000,5,0.000131,0.000068,0.000199,33
250,100,10000,6,0.000126,0.000068,0.000194,27
250,100,10000,7,0.000127,0.000066,0.000193,28
250,100,10000,8,0.000127,0.000068,0.000194,27
250,100,10000,9,0.000127,0.000067,0.000194,21
250,100,10000,10,0.000145,0.000075,0.000220,33
250,100,1000000,1,0.012274,0.006913,0.019187,6993
250,100,1000000,2,0.012196,0.006802,0.018999,4626
250,100,1000000,3,0.012136,0.006750,0.018886,3945
250,100,1000000,4,0.012166,0.006770,0.018937,3391
250,100,1000000,5,0.012128,0.006758,0.018886,2958
250,100,1000000,6,0.012201,0.006752,0.018954,2703
250,100,1000000,7,0.012078,0.006742,0.018820,2499
250,100,1000000,8,0.012096,0.006736,0.018832,2383
250,100,1000000,9,0.012135,0.006729,0.018864,2230
250,100,1000000,10,0.012116,0.006724,0.018840,2108
250,100,100000000,1,0.733580,0.541660,1.275240,697712
250,100,100000000,2,0.733603,0.539248,1.272851,470353
250,100,100000000,3,0.732570,0.539963,1.272533,383445
250,100,100000000,4,0.732112,0.540259,1.272371,331086
250,100,100000000,5,0.732530,0.539581,1.272111,298137
250,100,100000000,6,0.731906,0.540193,1.272099,271302
250,100,100000000,7,0.731921,0.539545,1.271466,252665
250,100,100000000,8,0.731855,0.539543,1.271398,235840
250,100,100000000,9,0.731992,0.539311,1.271303,223076
250,100,100000000,10,0.732007,0.539840,1.271847,212385
250,100,1000000000,1,9.127000,6.681808,15.808809,6991875
250,100,1000000000,2,7.484198,5.610502,13.094700,4698049
250,100,1000000000,3,8.117687,5.542608,13.660295,3837330
250,100,1000000000,4,7.543737,5.627620,13.171356,3315930
250,100,1000000000,5,7.562390,5.740870,13.303260,2974894
250,100,1000000000,6,7.623530,5.536753,13.160282,2716754
250,100,1000000000,7,7.480095,5.639335,13.119430,2516882
250,100,1000000000,8,7.574792,5.647641,13.222433,2360658
250,100,1000000000,9,7.462105,5.520267,12.982371,2228236
250,100,1000000000,10,7.448538,5.552666,13.001204,2120524
500,200,100,1,0.000224,0.000001,0.000225,0
500,200,100,2,0.000038,0.000001,0.000039,1
500,200,100,3,0.000040,0.000001,0.000041,1
500,200,100,4,0.000040,0.000001,0.000041,0
500,200,100,5,0.000040,0.000001,0.000041,0
500,200,100,6,0.000041,0.000001,0.000041,0
500,200,100,7,0.000040,0.000001,0.000041,1
500,200,100,8,0.000040,0.000001,0.000041,0
500,200,100,9,0.000040,0.000001,0.000041,3
500,200,100,10,0.000041,0.000001,0.000041,0
500,200,10000,1,0.000336,0.000060,0.000395,43
500,200,10000,2,0.000168,0.000054,0.000222,26
500,200,10000,3,0.000167,0.000059,0.000226,14
500,200,10000,4,0.000171,0.000071,0.000242,10
500,200,10000,5,0.000172,0.000054,0.000226,21
500,200,10000,6,0.000148,0.000054,0.000202,15
500,200,10000,7,0.000148,0.000054,0.000202,23
500,200,10000,8,0.000150,0.000054,0.000204,9
500,200,10000,9,0.000148,0.000054,0.000202,16
500,200,10000,10,0.000148,0.000054,0.000202,16
500,200,1000000,1,0.028193,0.005967,0.034159,3497
500,200,1000000,2,0.028002,0.005910,0.033912,2409
500,200,1000000,3,0.028064,0.005919,0.033984,1953
500,200,1000000,4,0.027893,0.005908,0.033801,1637
500,200,1000000,5,0.027993,0.005933,0.033926,1414
500,200,1000000,6,0.027930,0.006085,0.034015,1332
500,200,1000000,7,0.027946,0.005908,0.033854,1268
500,200,1000000,8,0.028011,0.005974,0.033985,1201
500,200,1000000,9,0.027934,0.005914,0.033848,1110
500,200,1000000,10,0.027929,0.005904,0.033833,1088
500,200,100000000,1,1.126353,0.553276,1.679629,348866
500,200,100000000,2,1.126188,0.551288,1.677476,233913
500,200,100000000,3,1.126707,0.552081,1.678787,190807
500,200,100000000,4,1.137550,0.551379,1.688929,163884
500,200,100000000,5,1.126779,0.550272,1.677051,147629
500,200,100000000,6,1.126297,0.552476,1.678774,133829
500,200,100000000,7,1.145709,0.565116,1.710825,124025
500,200,100000000,8,1.127206,0.549738,1.676944,115967
500,200,100000000,9,1.125807,0.550973,1.676780,110309
500,200,100000000,10,1.126591,0.551754,1.678345,104075
500,200,1000000000,1,11.328759,5.497267,16.826026,3498526
500,200,1000000000,2,11.288503,5.533252,16.821755,2342325
500,200,1000000000,3,11.283016,5.534647,16.817662,1906263
500,200,1000000000,4,11.283464,5.561598,16.845062,1647419
500,200,1000000000,5,11.256718,5.516640,16.773358,1472177
500,200,1000000000,6,11.286630,5.504986,16.791616,1342525
500,200,1000000000,7,11.291387,5.528522,16.819909,1243604
500,200,1000000000,8,11.300932,5.531305,16.832236,1164547
500,200,1000000000,9,11.289375,5.513252,16.802627,1097734
500,200,1000000000,10,11.302938,5.503137,16.806076,1041834
1000,400,100,1,0.001548,0.000001,0.001549,0
1000,400,100,2,0.000176,0.000001,0.000177,0
1000,400,100,3,0.000192,0.000001,0.000193,1
1000,400,100,4,0.000196,0.000001,0.000197,0
1000,400,100,5,0.000197,0.000001,0.000197,0
1000,400,100,6,0.000176,0.000001,0.000177,1
1000,400,100,7,0.000177,0.000001,0.000177,0
1000,400,100,8,0.000177,0.000001,0.000177,0
1000,400,100,9,0.000176,0.000001,0.000177,0
1000,400,100,10,0.000218,0.000001,0.000218,0
1000,400,10000,1,0.001284,0.000054,0.001338,19
1000,400,10000,2,0.000455,0.000054,0.000509,11
1000,400,10000,3,0.000458,0.000054,0.000512,15
1000,400,10000,4,0.000481,0.000061,0.000543,11
1000,400,10000,5,0.000484,0.000054,0.000538,8
1000,400,10000,6,0.000458,0.000054,0.000512,9
1000,400,10000,7,0.000459,0.000054,0.000513,4
1000,400,10000,8,0.000461,0.000054,0.000515,8
1000,400,10000,9,0.000460,0.000054,0.000514,8
1000,400,10000,10,0.000497,0.000071,0.000567,9
1000,400,1000000,1,0.013266,0.005466,0.018732,1795
1000,400,1000000,2,0.012545,0.005516,0.018060,1155
1000,400,1000000,3,0.012441,0.005545,0.017986,989
1000,400,1000000,4,0.012549,0.005519,0.018068,825
1000,400,1000000,5,0.012535,0.005477,0.018012,703
1000,400,1000000,6,0.012442,0.005581,0.018023,688
1000,400,1000000,7,0.012548,0.005549,0.018097,661
1000,400,1000000,8,0.012585,0.005425,0.018011,610
1000,400,1000000,9,0.012526,0.005472,0.017999,569
1000,400,1000000,10,0.012503,0.005431,0.017934,555
1000,400,100000000,1,1.147754,0.576163,1.723917,175118
1000,400,100000000,2,1.173113,0.552193,1.725306,116623
1000,400,100000000,3,1.149516,0.551613,1.701129,94648
1000,400,100000000,4,1.148534,0.551505,1.700039,82244
1000,400,100000000,5,1.148587,0.549416,1.698003,73258
1000,400,100000000,6,1.148776,0.551581,1.700358,66509
1000,400,100000000,7,1.148874,0.554333,1.703207,61979
1000,400,100000000,8,1.148276,0.550504,1.698780,58012
1000,400,100000000,9,1.149060,0.551050,1.700110,54165
1000,400,100000000,10,1.149647,0.554969,1.704616,51260
1000,400,1000000000,1,11.555997,5.507603,17.063601,1749831
1000,400,1000000000,2,11.485916,5.503269,16.989185,1169058
1000,400,1000000000,3,11.485041,5.504230,16.989271,949977
1000,400,1000000000,4,11.477366,5.510343,16.987709,821466
1000,400,1000000000,5,11.464023,5.554187,17.018210,733472
1000,400,1000000000,6,11.450989,5.509874,16.960863,667915
1000,400,1000000000,7,11.484932,5.527332,17.012264,617965
1000,400,1000000000,8,11.499706,5.505514,17.005220,578391
1000,400,1000000000,9,11.498432,5.503209,17.001641,544608
1000,400,1000000000,10,11.083462,5.431962,16.515424,515701
