Nx,Ny,Particles,Iteration,Interp(s),Mover(s),Total(s),Deleted
250,100,100,1,0.000042,0.000001,0.000043,1
250,100,100,2,0.000003,0.000001,0.000004,1
250,100,100,3,0.000003,0.000001,0.000004,0
250,100,100,4,0.000003,0.000001,0.000004,1
250,100,100,5,0.000003,0.000001,0.000004,3
250,100,100,6,0.000003,0.000001,0.000004,0
250,100,100,7,0.000003,0.000001,0.000004,0
250,100,100,8,0.000003,0.000001,0.000004,0
250,100,100,9,0.000003,0.000001,0.000004,0
250,100,100,10,0.000003,0.000001,0.000004,0
250,100,10000,1,0.000072,0.000089,0.000161,84
250,100,10000,2,0.000038,0.000089,0.000127,45
250,100,10000,3,0.000031,0.000089,0.000120,30
250,100,10000,4,0.000032,0.000089,0.000120,38
250,100,10000,5,0.000031,0.000093,0.000124,33
250,100,10000,6,0.000033,0.000094,0.000127,27
250,100,10000,7,0.000031,0.000090,0.000121,28
250,100,10000,8,0.000031,0.000089,0.000120,27
250,100,10000,9,0.000031,0.000088,0.000120,21
250,100,10000,10,0.000031,0.000088,0.000119,33
250,100,1000000,1,0.002920,0.008887,0.011807,6993
250,100,1000000,2,0.002890,0.008803,0.011692,4626
250,100,1000000,3,0.002890,0.008693,0.011582,3945
250,100,1000000,4,0.002924,0.008674,0.011598,3391
250,100,1000000,5,0.002878,0.008687,0.011565,2958
250,100,1000000,6,0.002957,0.008669,0.011626,2703
250,100,1000000,7,0.002871,0.008619,0.011490,2499
250,100,1000000,8,0.002928,0.008637,0.011565,2383
250,100,1000000,9,0.002915,0.008570,0.011485,2230
250,100,1000000,10,0.002882,0.008568,0.011449,2108
250,100,100000000,1,0.288199,0.891114,1.179313,697712
250,100,100000000,2,0.299518,0.955721,1.255239,470353
250,100,100000000,3,0.291914,0.870794,1.162708,383445
250,100,100000000,4,0.286512,0.884708,1.171220,331086
250,100,100000000,5,0.285858,0.864620,1.150478,298137
250,100,100000000,6,0.286176,0.867438,1.153615,271302
250,100,100000000,7,0.285810,0.862604,1.148414,252665
250,100,100000000,8,0.286099,0.864867,1.150965,235840
250,100,100000000,9,0.285617,0.862313,1.147930,223076
250,100,100000000,10,0.287758,0.861669,1.149427,212385
250,100,1000000000,1,41.617040,31.543060,73.160099,6991875
250,100,1000000000,2,8.645206,23.698472,32.343678,4698049
250,100,1000000000,3,14.956644,27.116532,42.073176,3837330
250,100,1000000000,4,11.380526,22.560256,33.940782,3315930
250,100,1000000000,5,18.167142,22.479581,40.646724,2974894
250,100,1000000000,6,13.757323,21.627246,35.384569,2716754
250,100,1000000000,7,16.707175,21.940464,38.647640,2516882
250,100,1000000000,8,15.379726,24.717871,40.097597,2360658
250,100,1000000000,9,16.973075,23.157766,40.130841,2228236
250,100,1000000000,10,16.062599,20.403632,36.466231,2120524
500,200,100,1,0.000209,0.000001,0.000210,0
500,200,100,2,0.000013,0.000001,0.000014,1
500,200,100,3,0.000013,0.000001,0.000014,1
500,200,100,4,0.000013,0.000001,0.000014,0
500,200,100,5,0.000013,0.000001,0.000014,0
500,200,100,6,0.000013,0.000001,0.000014,0
500,200,100,7,0.000013,0.000001,0.000014,1
500,200,100,8,0.000013,0.000001,0.000014,0
500,200,100,9,0.000013,0.000001,0.000014,3
500,200,100,10,0.000013,0.000001,0.000014,0
500,200,10000,1,0.000234,0.000095,0.000329,43
500,200,10000,2,0.000045,0.000095,0.000140,26
500,200,10000,3,0.000046,0.000095,0.000141,14
500,200,10000,4,0.000046,0.000095,0.000141,10
500,200,10000,5,0.000047,0.000095,0.000141,21
500,200,10000,6,0.000046,0.000097,0.000143,15
500,200,10000,7,0.000046,0.000095,0.000141,23
500,200,10000,8,0.000047,0.000095,0.000141,9
500,200,10000,9,0.000047,0.000095,0.000142,16
500,200,10000,10,0.000047,0.000095,0.000141,16
500,200,1000000,1,0.003642,0.009109,0.012751,3497
500,200,1000000,2,0.003706,0.009657,0.013362,2409
500,200,1000000,3,0.003605,0.009464,0.013068,1953
500,200,1000000,4,0.003376,0.009000,0.012375,1637
500,200,1000000,5,0.003366,0.008940,0.012306,1414
500,200,1000000,6,0.003643,0.009326,0.012968,1332
500,200,1000000,7,0.003374,0.009039,0.012412,1268
500,200,1000000,8,0.003289,0.008954,0.012244,1201
500,200,1000000,9,0.003307,0.008780,0.012086,1110
500,200,1000000,10,0.003207,0.008698,0.011906,1088
500,200,100000000,1,0.315780,0.866252,1.182032,348866
500,200,100000000,2,0.317335,0.878539,1.195874,233913
500,200,100000000,3,0.314309,0.864218,1.178527,190807
500,200,100000000,4,0.316846,0.858675,1.175521,163884
500,200,100000000,5,0.314815,0.876247,1.191063,147629
500,200,100000000,6,0.315218,0.867683,1.182901,133829
500,200,100000000,7,0.317116,0.860135,1.177251,124025
500,200,100000000,8,0.314170,0.863987,1.178156,115967
500,200,100000000,9,0.315918,0.905236,1.221154,110309
500,200,100000000,10,0.316267,0.864677,1.180944,104075
500,200,1000000000,1,41.312256,21.069174,62.381430,3498526
500,200,1000000000,2,8.310251,23.609226,31.919477,2342325
500,200,1000000000,3,20.621522,18.847545,39.469067,1906263
500,200,1000000000,4,18.518149,20.737011,39.255159,1647419
500,200,1000000000,5,19.507042,21.807020,41.314062,1472177
500,200,1000000000,6,12.168659,18.353365,30.522024,1342525
500,200,1000000000,7,15.660503,19.041722,34.702226,1243604
500,200,1000000000,8,13.251767,22.199033,35.450800,1164547
500,200,1000000000,9,13.624571,22.089586,35.714157,1097734
500,200,1000000000,10,14.877919,23.709733,38.587652,1041834
1000,400,100,1,0.000888,0.000001,0.000889,0
1000,400,100,2,0.000119,0.000001,0.000120,0
1000,400,100,3,0.000079,0.000001,0.000080,1
1000,400,100,4,0.000079,0.000001,0.000080,0
1000,400,100,5,0.000079,0.000001,0.000080,0
1000,400,100,6,0.000079,0.000001,0.000080,1
1000,400,100,7,0.000079,0.000001,0.000080,0
1000,400,100,8,0.000079,0.000001,0.000080,0
1000,400,100,9,0.000079,0.000001,0.000080,0
1000,400,100,10,0.000079,0.000001,0.000079,0
1000,400,10000,1,0.000851,0.000095,0.000946,19
1000,400,10000,2,0.000159,0.000095,0.000254,11
