Nx,Ny,Particles,Threads,Iteration,Interp(s),MoverOnly(s),Update(s),Total(s),Deleted
250,100,14000000,1,1,0.094993,0.158653,0.001407,0.255053,97410
250,100,14000000,1,2,0.089004,0.156588,0.000948,0.246540,65759
250,100,14000000,1,3,0.088810,0.156887,0.000777,0.246474,54048
250,100,14000000,1,4,0.089324,0.156619,0.000666,0.246609,46113
250,100,14000000,1,5,0.088863,0.157051,0.000657,0.246571,41304
250,100,14000000,1,6,0.089385,0.158089,0.000549,0.248023,37967
250,100,14000000,1,7,0.088055,0.154928,0.000537,0.243520,35374
250,100,14000000,1,8,0.087822,0.154224,0.000477,0.242523,33018
250,100,14000000,1,9,0.087676,0.154208,0.000449,0.242334,31210
250,100,14000000,1,10,0.087719,0.154370,0.000435,0.242524,30120
250,100,14000000,2,1,0.088396,0.078400,0.028455,0.195251,97824
250,100,14000000,2,2,0.087967,0.077901,0.028030,0.193898,65367
250,100,14000000,2,3,0.087936,0.079019,0.027890,0.194845,53565
250,100,14000000,2,4,0.088042,0.078101,0.027730,0.193874,46460
250,100,14000000,2,5,0.088016,0.078986,0.027743,0.194746,41754
250,100,14000000,2,6,0.088457,0.078866,0.027922,0.195245,37919
250,100,14000000,2,7,0.087924,0.079466,0.029366,0.196756,35163
250,100,14000000,2,8,0.090848,0.078878,0.027566,0.197292,33258
250,100,14000000,2,9,0.087834,0.077778,0.027429,0.193041,31197
250,100,14000000,2,10,0.088082,0.078329,0.027741,0.194151,29590
250,100,14000000,4,1,0.088072,0.044815,0.028282,0.161170,97343
250,100,14000000,4,2,0.088179,0.044334,0.027966,0.160480,65378
250,100,14000000,4,3,0.088289,0.044597,0.027898,0.160784,53414
250,100,14000000,4,4,0.088296,0.044255,0.028114,0.160664,46666
250,100,14000000,4,5,0.088265,0.044462,0.027597,0.160324,41913
250,100,14000000,4,6,0.088354,0.044326,0.027616,0.160297,37845
250,100,14000000,4,7,0.088014,0.044393,0.027448,0.159855,35291
250,100,14000000,4,8,0.088007,0.044105,0.027553,0.159664,33230
250,100,14000000,4,9,0.090920,0.044291,0.027392,0.162604,31107
250,100,14000000,4,10,0.088425,0.044643,0.027348,0.160416,29655
250,100,14000000,8,1,0.088039,0.032087,0.028785,0.148912,97845
250,100,14000000,8,2,0.088368,0.027860,0.031024,0.147252,65567
250,100,14000000,8,3,0.088506,0.027590,0.030914,0.147011,54193
250,100,14000000,8,4,0.093815,0.033944,0.037288,0.165047,46461
250,100,14000000,8,5,0.094187,0.028046,0.036981,0.159214,41718
250,100,14000000,8,6,0.094150,0.026936,0.037007,0.158094,38304
250,100,14000000,8,7,0.094141,0.026750,0.036922,0.157813,35308
250,100,14000000,8,8,0.094162,0.026745,0.036144,0.157051,33145
250,100,14000000,8,9,0.088576,0.026921,0.034513,0.150009,30979
250,100,14000000,8,10,0.088364,0.026783,0.034452,0.149600,29648
250,100,14000000,16,1,0.088030,0.029231,0.028689,0.145951,98181
250,100,14000000,16,2,0.088943,0.028897,0.029588,0.147427,65671
250,100,14000000,16,3,0.088448,0.028938,0.028604,0.145990,53733
250,100,14000000,16,4,0.088974,0.031002,0.028003,0.147979,46360
250,100,14000000,16,5,0.088448,0.028996,0.028206,0.145650,41754
250,100,14000000,16,6,0.088850,0.028759,0.028230,0.145838,38214
250,100,14000000,16,7,0.088920,0.029030,0.028071,0.146020,35524
250,100,14000000,16,8,0.088881,0.028784,0.028105,0.145769,33111
250,100,14000000,16,9,0.088828,0.029855,0.028062,0.146746,31289
250,100,14000000,16,10,0.088437,0.028706,0.027888,0.145032,29883
500,200,14000000,1,1,0.133582,0.154527,0.000701,0.288810,48745
500,200,14000000,1,2,0.132943,0.154353,0.000477,0.287773,33125
500,200,14000000,1,3,0.132800,0.154483,0.000387,0.287670,26709
500,200,14000000,1,4,0.133143,0.154440,0.000332,0.287914,22862
500,200,14000000,1,5,0.132776,0.154201,0.000298,0.287275,20714
500,200,14000000,1,6,0.132770,0.154202,0.000274,0.287246,19062
500,200,14000000,1,7,0.132781,0.154436,0.000254,0.287471,17470
500,200,14000000,1,8,0.132749,0.154169,0.000237,0.287155,16448
500,200,14000000,1,9,0.132971,0.154258,0.000221,0.287450,15368
