Nx,Ny,Particles,Threads,Total_Interp(s),Total_Mover(s),Total_Execution(s),Avg_Interp(s),Avg_Mover(s),Avg_Total(s),Total_Deleted,Avg_Deleted
250,100,14000000,1,0.891651,1.5685189999999998,2.460171,0.0891651,0.1568519,0.2460171,472323,47232.3
250,100,14000000,2,0.883502,1.065596,1.949099,0.0883502,0.1065596,0.1949099,472097,47209.7
250,100,14000000,4,0.884821,0.721435,1.606256,0.0884821,0.0721435,0.16062579999999999,471842,47184.2
250,100,14000000,8,0.912310,0.6276919999999999,1.540001,0.0912308,0.0627692,0.1540003,473168,47316.8
250,100,14000000,16,0.886758,0.575644,1.462402,0.0886759,0.0575644,0.1462402,473720,47372.0
500,200,14000000,1,1.329264,1.5472740000000003,2.876538,0.1329264,0.15472740000000001,0.28765359999999995,235108,23510.8
500,200,14000000,2,2.313553,1.097524,3.411077,0.2313554,0.1097524,0.3411077,234665,23466.5
500,200,14000000,4,1.480900,0.7367589999999999,2.217657,0.14809,0.07367589999999999,0.22176559999999998,234758,23475.8
500,200,14000000,8,1.670011,0.576313,2.246325,0.167001,0.057631299999999996,0.2246326,234755,23475.5
500,200,14000000,16,1.335192,0.574673,1.909865,0.1335193,0.0574673,0.1909865,234862,23486.2
1000,400,14000000,1,1.381615,1.542224,2.923840,0.13816140000000002,0.1542224,0.2923841,117051,11705.1
1000,400,14000000,2,1.808666,1.070989,2.879655,0.18086660000000002,0.1070989,0.2879656,116681,11668.1
1000,400,14000000,4,1.394458,0.7015640000000001,2.096022,0.1394457,0.07015640000000001,0.20960209999999999,117203,11720.3
1000,400,14000000,8,2.262688,0.569346,2.832033,0.2262689,0.0569346,0.2832034,116846,11684.6
1000,400,14000000,16,1.834075,0.576882,2.410958,0.1834074,0.0576882,0.24109570000000002,117540,11754.0
