Nx,Ny,Particles,Threads,Iteration,Interp(s),MoverOnly(s),Update(s),Total(s),Deleted
250,100,14000000,1,1,0.066000,0.065000,0.000000,0.131000,69774
250,100,14000000,1,2,0.065000,0.063000,0.000000,0.128000,51052
250,100,14000000,1,3,0.067000,0.065000,0.000000,0.132000,43646
250,100,14000000,1,4,0.066000,0.061000,0.000000,0.127000,39849
250,100,14000000,1,5,0.063000,0.063000,0.000000,0.126000,37510
250,100,14000000,1,6,0.064000,0.129000,0.000000,0.193000,35646
250,100,14000000,1,7,0.098000,0.106000,0.000000,0.204000,34615
250,100,14000000,1,8,0.092000,0.071000,0.000000,0.163000,33581
250,100,14000000,1,9,0.068000,0.076000,0.000000,0.144000,32876
250,100,14000000,1,10,0.083000,0.073000,0.000000,0.156000,32593
250,100,14000000,2,1,0.071000,0.045000,0.000000,0.116000,96594
250,100,14000000,2,2,0.078000,0.036000,0.000000,0.114000,65157
250,100,14000000,2,3,0.066000,0.038000,0.000000,0.104000,53210
250,100,14000000,2,4,0.065000,0.037000,0.000000,0.102000,46278
250,100,14000000,2,5,0.067000,0.035000,0.000000,0.102000,40954
250,100,14000000,2,6,0.065000,0.038000,0.000000,0.103000,37500
250,100,14000000,2,7,0.067000,0.038000,0.000000,0.105000,34347
250,100,14000000,2,8,0.066000,0.045000,0.000000,0.111000,32639
250,100,14000000,2,9,0.064000,0.038000,0.000000,0.102000,31103
250,100,14000000,2,10,0.064000,0.038000,0.000000,0.102000,29362
250,100,14000000,4,1,0.064000,0.036000,0.000000,0.100000,98025
250,100,14000000,4,2,0.065000,0.033000,0.000000,0.098000,66059
250,100,14000000,4,3,0.064000,0.033000,0.000000,0.097000,54003
250,100,14000000,4,4,0.064000,0.036000,0.000000,0.100000,46601
250,100,14000000,4,5,0.064000,0.038000,0.000000,0.102000,42259
250,100,14000000,4,6,0.067000,0.037000,0.000000,0.104000,38178
250,100,14000000,4,7,0.063000,0.031000,0.000000,0.094000,35272
250,100,14000000,4,8,0.063000,0.036000,0.000000,0.099000,33100
250,100,14000000,4,9,0.062000,0.035000,0.000000,0.097000,31139
250,100,14000000,4,10,0.063000,0.032000,0.000000,0.095000,29891
250,100,14000000,8,1,0.064000,0.039000,0.000000,0.103000,98800
250,100,14000000,8,2,0.064000,0.035000,0.000000,0.099000,65721
250,100,14000000,8,3,0.061000,0.035000,0.000000,0.096000,53592
250,100,14000000,8,4,0.063000,0.038000,0.000000,0.101000,46556
250,100,14000000,8,5,0.062000,0.038000,0.000000,0.100000,41590
250,100,14000000,8,6,0.065000,0.038000,0.000000,0.103000,38056
250,100,14000000,8,7,0.062000,0.034000,0.000000,0.096000,35241
250,100,14000000,8,8,0.061000,0.037000,0.000000,0.098000,32696
250,100,14000000,8,9,0.062000,0.034000,0.000000,0.096000,31184
250,100,14000000,8,10,0.061000,0.038000,0.000000,0.099000,29941
250,100,14000000,16,1,0.065000,0.038000,0.000000,0.103000,98058
250,100,14000000,16,2,0.064000,0.037000,0.000000,0.101000,65959
250,100,14000000,16,3,0.063000,0.037000,0.000000,0.100000,53576
250,100,14000000,16,4,0.065000,0.038000,0.000000,0.103000,46160
250,100,14000000,16,5,0.065000,0.036000,0.000000,0.101000,41584
250,100,14000000,16,6,0.062000,0.039000,0.000000,0.101000,37949
250,100,14000000,16,7,0.062000,0.039000,0.000000,0.101000,35473
250,100,14000000,16,8,0.065000,0.039000,0.000000,0.104000,33054
250,100,14000000,16,9,0.062000,0.036000,0.000000,0.098000,31339
250,100,14000000,16,10,0.065000,0.037000,0.000000,0.102000,29966
500,200,14000000,1,1,0.090000,0.063000,0.000000,0.153000,34559
500,200,14000000,1,2,0.088000,0.063000,0.000000,0.151000,25708
500,200,14000000,1,3,0.087000,0.064000,0.000000,0.151000,22090
500,200,14000000,1,4,0.089000,0.073000,0.000000,0.162000,19763
500,200,14000000,1,5,0.089000,0.063000,0.000000,0.152000,18739
500,200,14000000,1,6,0.088000,0.061000,0.000000,0.149000,17830
500,200,14000000,1,7,0.090000,0.063000,0.000000,0.153000,17293
500,200,14000000,1,8,0.086000,0.064000,0.000000,0.150000,17096
500,200,14000000,1,9,0.090000,0.063000,0.000000,0.153000,16664
500,200,14000000,1,10,0.087000,0.061000,0.000000,0.148000,16346
500,200,14000000,2,1,0.094000,0.084000,0.000000,0.178000,48410
500,200,14000000,2,2,0.127000,0.076000,0.000000,0.203000,32441
500,200,14000000,2,3,0.089000,0.057000,0.000000,0.146000,26430
500,200,14000000,2,4,0.105000,0.072000,0.000000,0.177000,22732
500,200,14000000,2,5,0.122000,0.056000,0.000000,0.178000,20429
500,200,14000000,2,6,0.090000,0.056000,0.000000,0.146000,19111
500,200,14000000,2,7,0.089000,0.056000,0.000000,0.145000,17348
500,200,14000000,2,8,0.087000,0.056000,0.000000,0.143000,16226
500,200,14000000,2,9,0.121000,0.081000,0.000000,0.202000,15450
500,200,14000000,2,10,0.120000,0.056000,0.000000,0.176000,14694
500,200,14000000,4,1,0.087000,0.032000,0.000000,0.119000,48969
500,200,14000000,4,2,0.095000,0.031000,0.000000,0.126000,32748
500,200,14000000,4,3,0.089000,0.033000,0.000000,0.122000,26504
500,200,14000000,4,4,0.086000,0.035000,0.000000,0.121000,22952
500,200,14000000,4,5,0.087000,0.039000,0.000000,0.126000,20669
