Nx,Ny,Particles,Threads,Total_Interp(s),Total_Mover(s),Total_Execution(s),Avg_Interp(s),Avg_Mover(s),Avg_Total(s),Total_Deleted,Avg_Deleted
250,100,14000000,1,0.732001,0.772,1.504000,0.0732,0.0772,0.1504,411142,41114.2
250,100,14000000,2,0.673000,0.388,1.061000,0.0673,0.0388,0.1061,467144,46714.4
250,100,14000000,4,0.638999,0.347,0.986000,0.0639,0.034699999999999995,0.0986,474527,47452.7
250,100,14000000,8,0.625000,0.366,0.991000,0.0625,0.0366,0.0991,473377,47337.7
250,100,14000000,16,0.638000,0.376,1.014000,0.0638,0.0376,0.1014,473118,47311.8
500,200,14000000,1,0.884000,0.6379999999999999,1.522000,0.08839999999999999,0.0638,0.1522,206088,20608.8
500,200,14000000,2,1.044000,0.65,1.694000,0.1044,0.065,0.1694,233271,23327.1
500,200,14000000,4,0.880000,0.322,1.202000,0.088,0.0322,0.1202,234395,23439.5
500,200,14000000,8,1.060000,0.379,1.439000,0.10600000000000001,0.0379,0.1439,234664,23466.4
500,200,14000000,16,0.926000,0.355,1.281000,0.09259999999999999,0.0355,0.1281,235737,23573.7
1000,400,14000000,1,0.993000,0.6579999999999999,1.651000,0.0993,0.0658,0.1651,103441,10344.1
1000,400,14000000,2,1.087000,0.5740000000000001,1.661000,0.10869999999999999,0.05740000000000001,0.1661,116598,11659.8
1000,400,14000000,4,0.951000,0.32100000000000006,1.272000,0.09509999999999999,0.032100000000000004,0.1272,119228,11922.8
1000,400,14000000,8,1.288000,0.38,1.668000,0.1288,0.038,0.1668,118703,11870.3
1000,400,14000000,16,0.901000,0.338,1.239000,0.0901,0.033800000000000004,0.12389999999999998,118420,11842.0
