Grid,Points,Threads,Strategy,Time
250x100,900000,1,serial,0.027788
250x100,900000,1,Hybrid_Parallel,0.028157
250x100,900000,2,Hybrid_Parallel,0.015565
250x100,900000,4,Hybrid_Parallel,0.010159
250x100,900000,8,Hybrid_Parallel,0.008887
250x100,900000,16,Hybrid_Parallel,0.010043
250x100,5000000,1,serial,0.152268
250x100,5000000,1,Hybrid_Parallel,0.155339
250x100,5000000,2,Hybrid_Parallel,0.08436
250x100,5000000,4,Hybrid_Parallel,0.046243
250x100,5000000,8,Hybrid_Parallel,0.045769
250x100,5000000,16,Hybrid_Parallel,0.047442
500x200,3600000,1,serial,0.276209
500x200,3600000,1,Hybrid_Parallel,0.182529
500x200,3600000,2,Hybrid_Parallel,0.067979
500x200,3600000,4,Hybrid_Parallel,0.039608
500x200,3600000,8,Hybrid_Parallel,0.044225
500x200,3600000,16,Hybrid_Parallel,0.047005
500x200,20000000,1,serial,0.657746
500x200,20000000,1,Hybrid_Parallel,0.654325
500x200,20000000,2,Hybrid_Parallel,0.352585
500x200,20000000,4,Hybrid_Parallel,0.23185
500x200,20000000,8,Hybrid_Parallel,0.25238
500x200,20000000,16,Hybrid_Parallel,0.218532
1000x400,14000000,1,serial,1.032764
1000x400,14000000,1,Hybrid_Parallel,1.017552
1000x400,14000000,2,Hybrid_Parallel,0.549857
1000x400,14000000,4,Hybrid_Parallel,0.324828
1000x400,14000000,8,Hybrid_Parallel,0.630539
1000x400,14000000,16,Hybrid_Parallel,1.53109
