Config,NX,NY,Points,Threads,TotalTime,InterpolationTime,MoverTime,Speedup,Efficiency
A,250,100,900000,1,0.410131,0.163910,0.245573,1.0439,104.3900
A,250,100,900000,2,0.226893,0.090469,0.136018,1.8871,94.3500
A,250,100,900000,4,0.126256,0.052694,0.072937,3.3913,84.7800
A,250,100,900000,8,0.092555,0.047594,0.044389,4.6261,57.8200
A,250,100,900000,16,0.083019,0.050941,0.031457,5.1575,32.2300
B,250,100,5000000,1,2.269954,0.905934,1.363383,1.0006,100.0600
B,250,100,5000000,2,1.266002,0.496484,0.768556,1.7941,89.7000
B,250,100,5000000,4,0.657893,0.262863,0.394299,3.4525,86.3100
B,250,100,5000000,8,0.389214,0.159045,0.229643,5.8359,72.9400
B,250,100,5000000,16,0.390206,0.173289,0.214548,5.8210,36.3800
C,500,200,3600000,1,2.455466,1.051396,1.401597,.9865,98.6500
C,500,200,3600000,2,1.671881,0.779448,0.890089,1.4488,72.4400
C,500,200,3600000,4,1.120736,0.552050,0.566435,2.1614,54.0300
C,500,200,3600000,8,0.697135,0.328335,0.367230,3.4747,43.4300
C,500,200,3600000,16,0.407195,0.228397,0.177847,5.9489,37.1800
D,500,200,20000000,1,13.847812,5.850330,7.994883,.9430,94.3000
D,500,200,20000000,2,9.115081,4.138857,4.974698,1.4326,71.6300
D,500,200,20000000,4,5.207082,2.449555,2.756297,2.5078,62.6900
D,500,200,20000000,8,2.852385,1.320755,1.530547,4.5781,57.2200
D,500,200,20000000,16,1.851264,0.934473,0.915614,7.0539,44.0800
E,1000,400,14000000,1,11.743389,5.290245,6.443273,.9227,92.2700
E,1000,400,14000000,2,6.896905,3.483570,3.406830,1.5711,78.5500
E,1000,400,14000000,4,4.822921,2.337680,2.481279,2.2467,56.1600
E,1000,400,14000000,8,8.337787,4.504999,3.828708,1.2996,16.2400
E,1000,400,14000000,16,4.079143,3.191290,0.870705,2.6564,16.6000
