Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.001804,0.000009,0.001833,0.000004,0.003650
1,0.001438,0.000009,0.001632,0.000004,0.003083
2,0.001204,0.000009,0.001300,0.000004,0.002517
3,0.001051,0.000009,0.001263,0.000004,0.002326
4,0.001045,0.000009,0.001251,0.000004,0.002309
5,0.001029,0.000009,0.001259,0.000003,0.002301
6,0.001064,0.000008,0.001245,0.000004,0.002321
7,0.001051,0.000009,0.001253,0.000004,0.002316
8,0.001080,0.000009,0.001309,0.000004,0.002403
9,0.001027,0.000009,0.001300,0.000004,0.002339
