Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.008994,0.000408,0.012559,0.000173,0.022134
1,0.006507,0.000415,0.012521,0.000274,0.019716
2,0.006573,0.000296,0.012445,0.000213,0.019527
3,0.007084,0.000148,0.012221,0.000066,0.019520
4,0.006702,0.000445,0.012354,0.000323,0.019824
5,0.007561,0.000268,0.012057,0.000135,0.020021
6,0.006779,0.000217,0.012095,0.000062,0.019154
7,0.006226,0.000127,0.012048,0.000110,0.018511
8,0.006106,0.000130,0.011943,0.000074,0.018252
9,0.007137,0.000219,0.012381,0.000116,0.019853
