Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.009079,0.000059,0.012131,0.000020,0.021289
1,0.007473,0.000055,0.010773,0.000018,0.018319
2,0.007557,0.000054,0.010747,0.000019,0.018377
3,0.007732,0.000057,0.011025,0.000019,0.018834
4,0.007744,0.000058,0.011051,0.000019,0.018872
5,0.007740,0.000057,0.011113,0.000019,0.018928
6,0.007725,0.000058,0.011096,0.000020,0.018898
7,0.007686,0.000059,0.011118,0.000020,0.018882
8,0.007696,0.000058,0.011047,0.000019,0.018822
9,0.007715,0.000058,0.011069,0.000019,0.018861
