Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.051516,0.000367,0.051378,0.000131,0.103392
1,0.051633,0.000445,0.051598,0.000199,0.103875
2,0.046798,0.000306,0.050980,0.000140,0.098224
3,0.052130,0.000283,0.051122,0.000424,0.103959
4,0.045866,0.000362,0.051403,0.000128,0.097760
5,0.049747,0.000465,0.050885,0.000233,0.101330
6,0.047690,0.000454,0.051030,0.000276,0.099450
7,0.050301,0.000381,0.050772,0.000130,0.101585
8,0.051425,0.000489,0.051079,0.000157,0.103150
9,0.054262,0.000402,0.051112,0.000261,0.106037
