Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.232843,0.000602,0.039853,0.000214,0.273512
1,0.225839,0.000561,0.039015,0.000250,0.265664
2,0.282562,0.000666,0.040010,0.000111,0.323348
3,0.238481,0.000633,0.039033,0.000147,0.278294
4,0.227400,0.000375,0.038913,0.000106,0.266794
5,0.234646,0.000456,0.038705,0.000252,0.274059
6,0.233800,0.000621,0.038408,0.000200,0.273029
7,0.257838,0.000587,0.038465,0.000196,0.297087
8,0.246612,0.000602,0.038602,0.000090,0.285905
9,0.235476,0.000402,0.038917,0.000117,0.274913
