ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,3.792615074,3.792582456
16,33554432,536870912,3.783747293,3.783745725
32,16777216,536870912,3.794473069,3.794471186
64,8388608,536870912,3.789314568,3.789311506
128,4194304,536870912,3.838372506,3.838364405
256,2097152,536870912,3.814354878,3.814342979
512,1048576,536870912,3.827031892,3.827010189
1024,524288,536870912,3.902760252,3.902716736
2048,262144,536870912,3.916740798,3.916661728
4096,131072,536870912,3.831206332,3.831038745
8192,65536,536870912,3.808450633,3.808144811
16384,32768,536870912,3.812663839,3.812032576
32768,16384,536870912,3.811709388,3.810440032
65536,8192,536870912,3.814726234,3.812181255
131072,4096,536870912,3.817498968,3.812431830
262144,2048,536870912,3.835102461,3.824816620
524288,1024,536870912,3.950056958,3.930016392
1048576,512,536870912,3.876316865,3.838609160
2097152,256,536870912,3.919866026,3.845891315
4194304,128,536870912,3.993967429,3.847963056
8388608,64,536870912,4.158252425,3.867975349
16777216,32,536870912,4.453106359,3.870938980
33554432,16,536870912,4.990167400,3.829148762
67108864,8,536870912,6.087675320,3.804407999
134217728,4,536870912,8.532949626,3.855972081
268435456,2,536870912,13.249390021,3.827278601
536870912,1,536870912,22.006850904,3.841424576
