ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.116359139,2.116320789
16,33554432,536870912,1.953166317,1.953164824
32,16777216,536870912,1.903546144,1.903544439
64,8388608,536870912,1.804009794,1.804006932
128,4194304,536870912,1.735905776,1.735897280
256,2097152,536870912,1.704724300,1.704713452
512,1048576,536870912,1.730409924,1.730389931
1024,524288,536870912,1.720179565,1.720141201
2048,262144,536870912,1.758123732,1.758049966
4096,131072,536870912,1.781922196,1.781766310
8192,65536,536870912,1.766286958,1.765990448
16384,32768,536870912,1.734301401,1.733689910
32768,16384,536870912,1.719209583,1.717904252
65536,8192,536870912,1.704978156,1.702385130
131072,4096,536870912,1.692433453,1.687394230
262144,2048,536870912,1.732519793,1.722355124
524288,1024,536870912,1.859399148,1.840298454
1048576,512,536870912,1.894826265,1.857041415
2097152,256,536870912,1.946248186,1.871476078
4194304,128,536870912,1.962828531,1.817098706
8388608,64,536870912,2.128162034,1.841190976
16777216,32,536870912,2.430113983,1.854625759
33554432,16,536870912,2.963454360,1.816966730
67108864,8,536870912,4.079087332,1.806022327
134217728,4,536870912,6.496068199,1.906129867
268435456,2,536870912,11.191614810,1.922734384
536870912,1,536870912,20.222464254,1.881114715
