ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.282569359,2.282531184
16,33554432,536870912,2.093719039,2.093718044
32,16777216,536870912,2.141117501,2.141116042
64,8388608,536870912,2.107952245,2.107949858
128,4194304,536870912,2.019642447,2.019637057
256,2097152,536870912,1.981341878,1.981332750
512,1048576,536870912,2.068940847,2.068923513
1024,524288,536870912,2.045487727,2.045452671
2048,262144,536870912,2.071674703,2.071607124
4096,131072,536870912,2.070747832,2.070608757
8192,65536,536870912,2.091618164,2.091347707
16384,32768,536870912,2.009900867,2.009329960
32768,16384,536870912,2.011207225,2.010023137
65536,8192,536870912,2.009718580,2.007349460
131072,4096,536870912,2.015495879,2.010745152
262144,2048,536870912,2.046454522,2.036952637
524288,1024,536870912,2.047591881,2.029978391
1048576,512,536870912,2.191854843,2.157160548
2097152,256,536870912,2.241251492,2.171865521
4194304,128,536870912,2.303423262,2.165459132
8388608,64,536870912,2.438373357,2.163683076
16777216,32,536870912,2.708289898,2.160908372
33554432,16,536870912,3.255426972,2.161912027
67108864,8,536870912,4.347751331,2.161878558
134217728,4,536870912,6.531946952,2.161870348
268435456,2,536870912,11.038650817,2.237190775
536870912,1,536870912,19.734144242,2.170755366
