ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.160523186,0.160521802
16,33554432,536870912,0.098217574,0.098216258
32,16777216,536870912,0.079218483,0.079217137
64,8388608,536870912,0.076174495,0.076169297
128,4194304,536870912,0.093828325,0.093821259
256,2097152,536870912,0.089222480,0.089208945
512,1048576,536870912,0.075124910,0.075102671
1024,524288,536870912,0.065165912,0.065125324
2048,262144,536870912,0.062119126,0.062039847
4096,131072,536870912,0.095786299,0.095625935
8192,65536,536870912,0.089728019,0.089410557
16384,32768,536870912,0.094763951,0.094067003
32768,16384,536870912,0.102237566,0.100852583
65536,8192,536870912,0.161050078,0.158356146
131072,4096,536870912,0.197894734,0.192653171
262144,2048,536870912,0.206650166,0.195964463
524288,1024,536870912,0.254392612,0.233142915
1048576,512,536870912,0.531186664,0.488012837
2097152,256,536870912,0.834038340,0.747533298
4194304,128,536870912,1.002860942,0.823316400
8388608,64,536870912,1.196224871,0.847942917
16777216,32,536870912,1.554881369,0.854904215
33554432,16,536870912,2.270928146,0.863106325
67108864,8,536870912,3.641082402,0.862221301
134217728,4,536870912,6.438918216,0.860614355
268435456,2,536870912,12.001057132,0.862637531
536870912,1,536870912,56.333496421,33.604894856
