ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.159523791,0.159522902
16,33554432,536870912,0.106374585,0.106373134
32,16777216,536870912,0.082459323,0.082457654
64,8388608,536870912,0.073225094,0.073219358
128,4194304,536870912,0.076715093,0.076709466
256,2097152,536870912,0.086752303,0.086737994
512,1048576,536870912,0.072985235,0.072963149
1024,524288,536870912,0.066938777,0.066897506
2048,262144,536870912,0.064133393,0.064051624
4096,131072,536870912,0.087332138,0.087170378
8192,65536,536870912,0.088302727,0.087984703
16384,32768,536870912,0.093004387,0.092347117
32768,16384,536870912,0.095348414,0.093917234
65536,8192,536870912,0.170261385,0.167543552
131072,4096,536870912,0.209819233,0.204427628
262144,2048,536870912,0.214789883,0.203701888
524288,1024,536870912,0.238508984,0.216905214
1048576,512,536870912,0.533126821,0.489413952
2097152,256,536870912,0.820511879,0.733051072
4194304,128,536870912,1.001942410,0.826996155
8388608,64,536870912,1.234137892,0.882157527
16777216,32,536870912,1.634095589,0.922272121
33554432,16,536870912,2.344160623,0.904839371
67108864,8,536870912,3.706180829,0.893524126
134217728,4,536870912,6.531410529,0.886358377
268435456,2,536870912,12.097503974,0.884111260
536870912,1,536870912,61.131728410,38.190864080
